date,usdkzt_ret,usdkzt_ret_5d,usdkzt_ret_21d,usdkzt_vol_5d,usdkzt_vol_21d,usdkzt_vol_log,tonia_spread,twina_spread,term_spread_14d,swap1d_spread,swap2d_spread,tonia_vol_log,swap1d_vol_log,variance_explained
2016-07-31,0.30196485785833105,0.3433002202200521,0.33812937413678074,0.27221362325834936,0.26416785204798265,0.09942714818664311,0.31995922663039733,0.3142697299700269,-0.27655135820143467,0.33578296664551704,0.3278343256267932,-0.0684511774177188,0.142579480217153,0.40563060567778747
2016-08-31,0.2957697445522832,0.3431680147351098,0.3349129303103523,0.2660587840746968,0.2584619563404808,0.11728939313647371,0.319064678535616,0.31462091095219596,-0.27309842804452983,0.33622805801807165,0.3283748189580189,-0.09168577435007855,0.16305119361688286,0.4136326040316305
2016-09-30,0.29276918091401305,0.3404352760566462,0.3339232601647401,0.2643981883104414,0.2576260916597445,0.13549804300860832,0.3159169009116012,0.3126170224473511,-0.26810925187098184,0.3345138454737383,0.32701887923281214,-0.10664804051639282,0.1806040819602043,0.42344713651299754
2016-10-31,0.2894211968709415,0.33836465278292926,0.3333202166279987,0.2627093343384794,0.2577969638551324,0.1504919655955502,0.3134645982381359,0.3110728676534277,-0.26415442663455674,0.33263911285802106,0.325988067150515,-0.1162372525778069,0.19309847861117005,0.4318288480787982
2016-11-30,0.2872701615221316,0.33553515228434283,0.330477626233517,0.261639796382322,0.25832745588505795,0.1569844707521752,0.3132629163437293,0.31121097024243827,-0.2632843045982045,0.33235494067633364,0.32653995588570417,-0.12075153726863863,0.199675591722016,0.43548230343990685
2016-12-31,0.28059382016275713,0.33517878211164803,0.3300800469548841,0.25579084716201606,0.2552913697775511,0.16824312418515294,0.3126163291604081,0.3108274435197552,-0.2624796744105603,0.3330628975573234,0.32737525130859324,-0.1316660835032469,0.20586745754340532,0.4404045766616229
2017-01-31,0.2753592553335672,0.3335652156778551,0.3269523186578398,0.2525571964095152,0.2526436887056381,0.19054813050450453,0.30704729714472206,0.30585343690824474,-0.25667810966553956,0.3356604673676013,0.3270374436734353,-0.14313240163312702,0.2197152815061025,0.44840830421205813
2017-02-28,0.27330515648743625,0.33609965190103513,0.32888505229914594,0.2519179468291417,0.2529030661726654,0.17816328453586272,0.3043582862558868,0.3037396585577965,-0.25327880414998477,0.33664119281292165,0.32766991217978597,-0.15238036045197004,0.22815484108354064,0.4537763561063529
2017-03-31,0.27524727732946996,0.33269744216088953,0.3292437442395198,0.25459256937041075,0.2548499875708439,0.17034237079379821,0.30346485562504016,0.30318406062503594,-0.2519460970823569,0.33688613318945176,0.3288828622105183,-0.1583383794130179,0.22836793582377085,0.4565731547268244
2017-04-30,0.2774834753419272,0.331707749934168,0.32896995777500515,0.257010017213571,0.25713553606423317,0.1682028151543324,0.30194361589261276,0.3020601287462348,-0.2497268981539282,0.33530359012938465,0.32841384536743623,-0.162795130366936,0.22962238234618196,0.46064640375585103
