date,usdkzt_ret,usdkzt_ret_5d,usdkzt_ret_21d,usdkzt_vol_5d,usdkzt_vol_21d,usdkzt_vol_log,tonia_spread,twina_spread,term_spread_14d,swap1d_spread,swap2d_spread,tonia_vol_log,swap1d_vol_log,usdkzt_volume
2015-01-05,,,,,,18.890684373198106,9.3,1.573175,-7.726825000000001,1.1693738036642038,9.154060705496306,4.226395693132972,18.02020317735524,160000000.0
2015-01-06,0.001983540384475,,,,,18.97514040473842,8.29,10.122002,1.832002000000001,-2.5381952628087543,,4.0469034876219645,17.840862248699423,174100000.0
2015-01-08,0.0009545115852054,,,,,18.98086779725608,8.85,9.906102,1.056102000000001,1.601925703359738,,4.596028528070808,21.646730772568567,175100000.0
2015-01-09,0.0003397805706644,,,,,18.33838550122553,9.16,9.787518,0.6275180000000002,0.6272621323864165,,4.461877016161616,21.7083360842154,92100000.0
2015-01-12,0.0027241364669547,,,,,18.33403293722669,9.44,9.50201,0.0620100000000007,0.9734934196225388,,4.553350437258295,21.742834918274067,91700000.0
2015-01-13,0.0001210935613169,0.0008428078796411,,0.023605736400449,,18.382978876768355,9.45,9.868551,0.4185510000000008,0.9584718060473988,,4.585069514281089,21.694802043046543,96300000.0
2015-01-14,4.5871684175580185e-06,0.0004451823690626,,0.0216953053138636,,18.22344857442265,9.49,9.600821,0.1108209999999996,0.918471806047398,,4.659090027977522,21.6518803185094,82100000.0
2015-01-15,0.0009428061077478,0.0008246459076532,,0.0178186206735935,,18.31753998503285,9.49,9.51,0.0199999999999995,0.8968335146898792,,4.78164132910387,21.664444284328344,90200000.0
2015-01-16,0.0002189192694181,0.000800473647404,,0.0180450337156316,,18.02763815584276,9.47,9.528579,0.0585789999999999,,16.78281034622094,4.926383741648665,,67500000.0
2015-01-19,0.0002719978256946,0.0002012467888741,,0.0072005163198641,,17.782021748676488,9.59,10.265498,0.6754979999999993,,,5.09693530701534,,52800000.0
2015-01-20,0.0,0.0001770280766107,,0.0073354920948944,,14.50865773852422,9.58,9.5,-0.08,0.8068335146898793,,5.100475998096045,21.71725807648442,2000000.0
2015-01-21,0.0016570983713535,0.0005093651845649,,0.0124478371505674,,18.24513617143744,9.56,9.544946,-0.015054000000001,0.8128456075531787,,5.035457979527601,21.71614717098228,83900000.0
2015-01-22,6.909459171033916e-05,0.0003346228813574,,0.0120708780138695,,17.76290070722971,9.52,9.749041,0.2290410000000005,0.8519433900407876,,5.1640428407255685,21.73632023725288,51800000.0
2015-01-23,0.0007437250041606,0.0004395840283059,,0.0123262466147136,,18.43556935644612,9.65,10.722507,1.072507,0.7109451385116792,,5.27709373009641,21.73813413218156,101500000.0
2015-01-26,0.0010056976314949,0.0006951231197438,,0.0109387999460062,,17.85504688369138,9.91,4.030284999999999,-5.879715000000001,0.4208484684196243,,5.194011849738723,21.810041683838566,56800000.0
2015-01-27,5.4598522378768166e-05,0.0007060428242196,,0.0107249963633619,,18.09495060386305,10.22,9.625048,-0.594952000000001,0.1108484684196238,,5.033830851699444,21.80801581962137,72200000.0
2015-01-28,0.0,0.0003746231499489,,0.0074059179201622,,18.130328442944705,10.0,9.508814,-0.4911860000000008,0.3308484684196244,,5.1049753064706165,21.82360995845928,74800000.0
2015-01-29,6.619520969763926e-05,0.0003475651896673,,0.0078088606873612,,18.269857854217783,9.79,9.52442,-0.2655799999999999,0.5408484684196253,,4.796864349028711,21.799291626941724,86000000.0
