date,KZ_MCI_monthly
2015-01-31,
2015-02-28,
2015-03-31,
2015-04-30,
2015-05-31,
2015-06-30,
2015-07-31,
2015-08-31,
2015-09-30,
2015-10-31,
2015-11-30,
2015-12-31,
2016-01-31,
2016-02-29,
2016-03-31,
2016-04-30,
2016-05-31,
2016-06-30,
2016-07-31,-0.8575996438545765
2016-08-31,-1.1689858415677423
2016-09-30,-1.3930587617597796
2016-10-31,-1.284550323587644
2016-11-30,-0.5705687937247228
2016-12-31,-1.2454771755859517
2017-01-31,-2.4634875640522496
2017-02-28,-2.1171757668697935
2017-03-31,-1.6123124535295352
2017-04-30,-1.2988626088930018
2017-05-31,-0.4645320364816679
2017-06-30,-0.13236591723842414
2017-07-31,-0.16165242750229997
2017-08-31,0.09306493592536941
2017-09-30,0.0862139881281508
2017-10-31,-0.4426226276086674
2017-11-30,-0.6891863356198729
2017-12-31,-0.0551130372804718
2018-01-31,-0.56872657611234
2018-02-28,-0.37067908882581796
2018-03-31,-0.35411418465941974
2018-04-30,0.6125455013083575
2018-05-31,-0.04402001299997141
2018-06-30,0.04607527707455142
2018-07-31,0.11362796076990525
2018-08-31,0.8866659836713306
2018-09-30,0.8850078263273726
2018-10-31,0.17375331884156212
2018-11-30,0.03124831863076434
2018-12-31,-0.1510409485950846
2019-01-31,-0.3221237494573047
2019-02-28,-0.15132932588273687
2019-03-31,-0.6693046294489124
2019-04-30,-0.8047539555530356
2019-05-31,-0.7488284020133548
2019-06-30,-0.1477782721091944
2019-07-31,0.025732371508132738
2019-08-31,0.03900312946332249
2019-09-30,-0.12259197880560027
2019-10-31,-0.2992388314221589
2019-11-30,-0.35008134056034673
2019-12-31,-0.0867753120005506
2020-01-31,-0.10515798410275638
2020-02-29,-0.23272991330340048
2020-03-31,4.254537294339036
2020-04-30,0.9808303370506851
2020-05-31,-0.3358824819150953
2020-06-30,-0.37671110977482203
2020-07-31,0.24587513625697327
2020-08-31,0.20275038277647187
2020-09-30,0.3886154070735186
2020-10-31,0.11545747591382395
2020-11-30,-0.3138890035123649
2020-12-31,-0.19758490731950837
2021-01-31,0.07419671721464827
2021-02-28,-0.19351803106297216
2021-03-31,-0.10198921864241331
2021-04-30,0.16988489335715465
2021-05-31,-0.186522937536785
2021-06-30,-0.4546390538747246
2021-07-31,-0.04401084155806541
2021-08-31,-0.28638575098688446
2021-09-30,-0.45113331459975925
2021-10-31,-0.37644234808383636
2021-11-30,0.00298566454346544
2021-12-31,-0.04981005727059525
2022-01-31,-0.3846002389379437
2022-02-28,2.440784747614209
2022-03-31,5.025434263859603
2022-04-30,1.4807511684659798
2022-05-31,1.9529769170864697
2022-06-30,2.8545301175165028
2022-07-31,2.3854179688388206
2022-08-31,0.7297126687186751
2022-09-30,1.1654698591687318
2022-10-31,0.7304999284251175
2022-11-30,0.474484078424304
2022-12-31,0.673540900692821
2023-01-31,0.07214793607511966
2023-02-28,-0.13588944445183868
2023-03-31,1.6862443401529696
2023-04-30,0.8129013486499819
2023-05-31,0.11612348377948724
2023-06-30,0.26900921853889903
2023-07-31,-0.5503182161237635
2023-08-31,0.6132818029569986
2023-09-30,0.6822330254740476
2023-10-31,-0.18911521321418245
2023-11-30,-0.7313862246562852
2023-12-31,-0.6780171576680337
2024-01-31,-1.0967534286690177
2024-02-29,-0.5977083949054502
2024-03-31,-0.5759530587546615
2024-04-30,-1.1130548993203748
2024-05-31,-0.6545913768388033
2024-06-30,0.07574179325515207
2024-07-31,-0.010164248089974117
2024-08-31,-0.5161777688136678
2024-09-30,-0.873563667369324
2024-10-31,-0.004388742941280231
2024-11-30,0.3261270570138526
2024-12-31,1.364448991945439
2025-01-31,-0.15589506185314436
2025-02-28,-0.5417626892123567
2025-03-31,0.21835934677121951
2025-04-30,0.9359285432198983
2025-05-31,-0.305817106035632
2025-06-30,-0.3292734805722916
2025-07-31,0.36606934574322
2025-08-31,-0.13295611876690688
2025-09-30,-0.30783059875669955
2025-10-31,-0.8253480033766553
2025-11-30,-1.3351182467509142
2025-12-31,-0.6127929118425922
2026-01-31,-0.6457572183527706
2026-02-28,-0.26802369514303703
2026-03-31,-0.2129235292526746
2026-04-30,-0.11329313195580307
2026-05-31,0.862524339231843
2026-06-30,0.3641575202733854
2026-07-31,0.11580975099035004
2026-08-31,-0.3221157205248146
2026-09-30,0.8531520872394348
